match_index,map,round_num,equipment_value_ct,equipment_value_t,cash_ct,cash_t,cash_spent_ct,cash_spent_t,first_kill_side,round_winner
1,de_mirage,1,3350,3450,1650,1550,2350,2450,CT,CT
1,de_mirage,2,13200,2500,8650,9650,11550,1900,CT,CT
1,de_mirage,3,24400,21400,11250,1350,17450,20700,T,T
1,de_mirage,4,14600,20700,6450,5650,14000,16850,T,T
1,de_mirage,5,9300,26050,9300,26050,9300,26050,T,T
1,de_mirage,6,16300,26050,5850,31750,39250,2150,CT,T
1,de_mirage,7,8400,28850,11300,25950,8750,41100,T,T
1,de_mirage,8,24700,29350,4900,31250,22600,12250,T,T
1,de_mirage,9,21300,31050,2150,41950,20300,6550,T,T
1,de_mirage,10,17050,30750,17050,30750,17050,30750,T,T
1,de_mirage,11,20950,24100,3950,60250,20250,31650,T,T
1,de_mirage,12,21750,23500,5700,55100,21050,40650,CT,CT
1,de_mirage,13,2950,3150,2950,3150,2950,3150,T,T
1,de_mirage,14,18400,3100,4000,9800,50650,31000,T,T
1,de_mirage,15,22650,18650,13950,2050,8450,37000,T,T
1,de_mirage,16,23300,14600,21050,4050,10950,15200,CT,CT
1,de_mirage,17,19600,19650,10050,13800,18600,11550,T,T
1,de_mirage,18,24000,20950,16200,3050,11900,19950,CT,T
1,de_mirage,19,22700,16050,13500,4850,22100,17350,CT,CT
1,de_mirage,20,18600,22700,18600,22700,18600,22700,T,T
1,de_mirage,21,25150,15450,10200,5650,66700,14450,CT,T
1,de_mirage,22,25350,17850,25350,17850,25350,17850,CT,CT
1,de_mirage,23,20300,27450,13200,29950,17100,65850,T,CT
2,de_mirage,1,3100,2350,1900,2650,2900,2050,CT,CT
2,de_mirage,2,17100,6950,4650,5800,18950,4300,CT,CT
2,de_mirage,3,25000,12100,12900,7700,7250,12400,T,CT
2,de_mirage,4,28550,10850,8600,11700,22750,16800,CT,CT
2,de_mirage,5,31000,16100,10600,1650,18000,6900,T,CT
2,de_mirage,6,32700,10700,32700,10700,32700,10700,CT,T
2,de_mirage,7,26300,20150,6550,6250,48000,13450,CT,CT
2,de_mirage,8,28300,9750,28300,9750,28300,9750,T,CT
2,de_mirage,9,29200,10650,19700,15500,12400,26700,CT,CT
2,de_mirage,10,31350,14000,31350,14000,31350,14000,CT,CT
2,de_mirage,11,32150,11450,32150,11450,32150,11450,CT,CT
2,de_mirage,12,22500,7400,22500,7400,22500,7400,T,CT
2,de_mirage,13,2850,4100,1750,500,50800,33750,T,CT
2,de_mirage,14,8550,17150,6950,5400,35350,19550,CT,CT
2,de_mirage,15,15650,27050,4300,14300,15050,7800,CT,CT
2,de_mirage,16,14600,21750,14600,21750,14600,21750,CT,T
2,de_mirage,17,22900,17850,23850,23250,18600,17650,T,T
3,de_mirage,1,2450,2300,2550,2700,3450,2650,T,T
3,de_mirage,2,7300,12900,4800,8450,6900,14050,T,T
3,de_mirage,3,17400,22050,2100,12000,17600,12000,T,CT
3,de_mirage,4,21150,12100,4250,8400,15650,4400,CT,CT
3,de_mirage,5,22300,10750,18200,7350,10250,18800,CT,CT
3,de_mirage,6,30250,12800,13650,8200,7150,14500,T,CT
3,de_mirage,7,30150,17800,15800,7200,18350,21800,CT,CT
3,de_mirage,8,28000,6300,11450,15300,33000,15800,CT,CT
3,de_mirage,9,28250,20650,20250,6050,15050,20950,CT,CT
3,de_mirage,10,34350,16400,26650,6450,9700,16900,T,T
3,de_mirage,11,27450,20400,8450,13650,26950,14900,CT,CT
3,de_mirage,12,25650,13400,12600,10100,16300,21800,CT,CT
3,de_mirage,13,3400,3800,3400,3800,3400,3800,CT,T
