match_index,col_0,col_1,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_2,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_3,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_4,col_40,col_41,col_42,col_43,col_44,col_5,col_6,col_7,col_8,col_9
1,,UTILITY,,,,,,,,,,,FIRST KILL,,,,,,,,,,,TRADES,,,,,,,,,,,1VX,,,,,,MULTIKILLS,,,,
1,,,ADR,HS%,KAST,Rating,EF,,,,FKD,,,,,,,,K,,,,,,,,,1vX,,,,,,3k+,,,,,,,K,D,A,+/-,K/D
1,"Team 1
13
4
9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,bat9,113,59%,82.6%,1.75,17,,,,3,,,,,,,,3,,,,,,,,,1,,,,,,4,,,,,,,27,14,5,13,1.90
1,,ISSA,101.8,21%,73.9%,1.55,2,,,,1,,,,,,,,4,,,,,,,,,0,,,,,,4,,,,,,,24,13,3,11,1.80
1,,𝙖𝙩𝙤𝙢𝙙𝙮𝙦,69.4,29%,78.3%,1.11,1,,,,1,,,,,,,,4,,,,,,,,,1,,,,,,1,,,,,,,14,13,6,1,1.10
1,,ticky,67,21%,65.2%,0.89,0,,,,-2,,,,,,,,2,,,,,,,,,0,,,,,,1,,,,,,,14,18,6,-4,0.80
1,,Xuxu,49.8,80%,65.2%,0.48,0,,,,0,,,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,5,19,7,-14,0.30
1,"Team 2
10
3
7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,volg zangief,80.2,45%,73.9%,1.31,17,,,,0,,,,,,,,3,,,,,,,,,0,,,,,,1,,,,,,,20,14,4,6,1.40
1,,AZ,77.8,28%,69.6%,1.12,1,,,,-2,,,,,,,,3,,,,,,,,,1,,,,,,1,,,,,,,18,17,2,1,1.10
1,,zeus13ll,83.3,43%,60.9%,0.93,1,,,,1,,,,,,,,1,,,,,,,,,0,,,,,,0,,,,,,,14,18,9,-4,0.80
1,,OBRERO VIEJO NOMA,72.4,69%,60.9%,0.85,5,,,,1,,,,,,,,1,,,,,,,,,0,,,,,,1,,,,,,,13,18,9,-5,0.70
1,,BAULETTI,66.7,40%,60.9%,0.74,4,,,,-3,,,,,,,,3,,,,,,,,,0,,,,,,1,,,,,,,10,17,7,-7,0.60
2,,UTILITY,,,,,,,,,,,FIRST KILL,,,,,,,,,,,TRADES,,,,,,,,,,,1VX,,,,,,MULTIKILLS,,,,
2,,,ADR,HS%,KAST,Rating,EF,,,,FKD,,,,,,,,K,,,,,,,,,1vX,,,,,,3k+,,,,,,,K,D,A,+/-,K/D
2,"Team 1
4
3
1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,GIACOMINO GUARDIANNO,101.8,25%,70.6%,1.33,1,,,,0,,,,,,,,3,,,,,,,,,0,,,,,,2,,,,,,,16,13,3,3,1.20
2,,El Papu Faker,82.9,42%,76.5%,1.09,3,,,,0,,,,,,,,2,,,,,,,,,1,,,,,,0,,,,,,,12,14,4,-2,0.90
2,,3dfx_Emilio,45.5,25%,47.1%,0.47,3,,,,-2,,,,,,,,1,,,,,,,,,0,,,,,,0,,,,,,,8,16,1,-8,0.50
2,,ok,46.7,40%,41.2%,0.33,0,,,,0,,,,,,,,0,,,,,,,,,1,,,,,,1,,,,,,,5,15,6,-10,0.30
2,,sebamurdocca,35.8,40%,35.3%,0.20,2,,,,-3,,,,,,,,2,,,,,,,,,0,,,,,,0,,,,,,,5,16,1,-11,0.30
2,"Team 2
13
11
2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,ebanibomj,167.6,21%,76.5%,2.38,8,,,,5,,,,,,,,2,,,,,,,,,1,,,,,,4,,,,,,,29,9,4,20,3.20
